,path,freq
0,emailemailemailemailemailemailemailemailpurchase,10
1,emailemailemaildirect mailaffiliateaffiliateorganic searchpurchase,5
2,emailemailemailemailemailemailorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchpaid searchaffiliateaffiliateorganic socialpurchase,5
3,emailemailemailemailemailpaid socialpaid searchdisplaysmsnon paidpurchase,5
4,emailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailpaid searchpaid searchpaid searchpaid searchdirect maildisplaydisplaydisplaydisplaydisplaydisplayorganic searchorganic searchnon paidpurchase,5
5,emailemailemailemailemaildirect maildirect maildirect maildirect maildisplaypurchase,5
6,direct maildirect maildirect maildirect mailorganic searchorganic searchorganic searchemailpurchase,5
7,emaildirect maildirect mailorganic searchorganic searchorganic searchpurchase,5
8,direct maildirect mailorganic searchorganic searchemailpurchase,15
9,emailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailpaid socialpaid socialpaid socialpaid searchpaid searchpaid searchpaid searchdirect mailorganic searchorganic searchorganic searchorganic searchorganic socialpurchase,5
10,direct mailorganic searchorganic searchorganic searchorganic searchemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailpaid searchpaid searchpaid searchpaid socialpaid socialpaid socialorganic socialpurchase,5
11,emailemailemailemailemailemaildirect maildirect mailnon paidpurchase,5
12,emailemailemaildirect mailsmspurchase,15
13,emailemailemailemailemaildirect mailpurchase,70
14,emailemailemailemailemailpaid searchdirect mailpurchase,20
15,emaildirect maildisplaypurchase,15
16,direct mailemaildisplaynon paidpurchase,5
17,emailemaildirect maildisplaydisplaypurchase,5
18,emailemailemailemailemailemailemailemailemaildirect maildisplaydisplaydisplaydisplaypurchase,10
19,displaydisplaydisplaydisplayemailemailemailemailemailemailemailemailemailemaildirect mailpurchase,5
20,emailemaildirect mailpurchase,165
21,emailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemaildirect mailpurchase,5
22,emailemailemailemailemailemailemailemailemailemailemailemailemaildirect mailpurchase,15
23,emailemailpurchase,220
24,emailemailemailemaildirect maildisplaypurchase,5
25,emailemailemailemailemailemailemailemailemailemailemailemailemailemailemaildirect mailsmsnon paidpurchase,5
26,emailemaildirect mailorganic searchpurchase,15
27,emaildirect mailorganic searchpurchase,25
28,emailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemaildirect maildirect maildisplayorganic searchnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidpurchase,5
29,emailpaid searchpaid searchorganic searchpurchase,5
30,emailemailemailemailemailemaildirect mailpurchase,30
31,emailemailemailemailemailemailemailemailemailemailemailemaildirect mailorganic searchpurchase,5
32,organic searchorganic searchemailemailemailemailemailemailemailemailemailemailemailemaildirect mailpurchase,5
33,emailemailorganic searchorganic searchorganic searchpurchase,5
34,emailemailemailemailpaid searchpaid searchpaid searchpurchase,5
35,emailemailemailemaildirect mailorganic searchorganic searchpurchase,5
36,emailpurchase,625
37,emailemailemailemaildirect mailpurchase,55
38,emailemailemailpaid searchpaid searchpaid searchpaid searchdirect maildirect maildirect maildirect maildirect mailorganic searchorganic searchorganic searchorganic searchpurchase,5
39,emailpaid searchdirect mailorganic searchpurchase,10
40,emailemailemailemailemailemailemailemaildirect maildirect mailpurchase,25
41,direct maildirect mailnon paidemailemailemailemailemailemailemailemailemailemailsmspurchase,5
42,emailemailemailemailemailemailemailemailemaildirect mailsmsnon paidpurchase,5
43,emailemailemailemailemaildirect mailorganic searchnon paidpurchase,5
44,emailemailemailemailemailemailemailemailemailemailemailpurchase,5
45,emailemailorganic searchnon paidpurchase,5
46,emailemailemailemailemailemailemailemailemailemailnon paidpurchase,5
47,emailemaildirect mailorganic searchnon paiddirect mailorganic searchemailemailnon paidpurchase,5
48,emailorganic searchorganic searchpurchase,10
49,emaildirect mailnon paidpurchase,5
50,emailemailemailemailemailemailemailpaid searchdirect mailaffiliateaffiliateorganic searchorganic searchnon paidpurchase,5
51,direct mailorganic searchorganic searchpaid searchemailemailemailemailemailemailemailemailnon paidaffiliateaffiliateorganic searchorganic searchdirect mailemailemailemailemailemailemailemailemailpaid searchnon paidaffiliateaffiliatepurchase,5
52,direct mailnon paidorganic searchorganic searchorganic searchpaid searchemailemailemailemailemailemailemailemailemailaffiliateaffiliatepurchase,5
53,emailemailemaildirect mailpurchase,85
54,emailemailpaid searchdirect mailpurchase,20
55,emailemailemailemailpaid searchorganic searchpurchase,5
56,emailemailemailemailemaildirect maildisplaypurchase,5
