,path,freq
0,emailemailemaildirect mailaffiliateaffiliateorganic searchpurchase,5
1,emailemailemailemailemaildirect mailpurchase,5
2,emailemailpurchase,75
3,emailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemaildirect maildirect maildisplayorganic searchnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidpurchase,5
4,emailpurchase,335
5,emailpaid searchdirect mailorganic searchpurchase,5
6,emailemailemailemailemailemailemailemailemailemailemailpurchase,5
7,emailemailemailemailemailsmspurchase,5
8,emailemailemailemailemailemailemailemaildirect mailpurchase,10
9,emaildirect mailpurchase,30
10,emaildirect maildirect mailpurchase,5
11,emailpaid searchpaid searchpurchase,10
12,emailnon paidpurchase,25
13,paid socialpaid socialpaid socialpaid socialpurchase,40
14,paid socialpurchase,300
15,paid socialpaid socialpaid socialpaid socialpaid socialpurchase,15
16,paid socialpaid socialpaid socialpurchase,75
17,paid socialpaid socialpurchase,125
18,paid socialpaid searchpurchase,5
19,paid socialdisplaypurchase,5
20,paid searchpurchase,915
21,paid searchdirect mailpurchase,55
22,paid searchnon paidpurchase,25
23,paid searchsmspurchase,125
24,paid searchorganic searchpurchase,90
25,paid searchpaid searchdisplaydisplaydisplaydisplayorganic searchpurchase,5
26,paid searchpaid searchorganic searchorganic searchpurchase,10
27,paid searchpaid searchdisplaydisplaydisplaydisplayorganic searchorganic searchpurchase,5
28,paid searchpaid searchpurchase,40
29,direct mailpurchase,135
30,direct maildirect mailpurchase,80
31,direct mailnon paidpurchase,45
32,direct mailsmspurchase,25
33,direct mailorganic searchpurchase,45
34,Directpurchase,930
35,Directorganic searchpurchase,5
36,displaypurchase,55
37,organic searchpurchase,635
38,organic searchsmspurchase,55
39,smspurchase,365
