,uid,time_to_purchase,total_events,path,new_to_file
0,rbos-2575c49c-edf2-4705-a3f1-9864be0f0c07,12537354.0,8,emailemailemailemailemailemailemailemailpurchase,0
1,1336478261610983331,22784652.0,7,emailemailemaildirect mailaffiliateaffiliateorganic searchpurchase,1
2,1336478261610983331,24522824.0,16,emailemailemailemailemailemailorganic searchorganic searchorganic searchorganic searchorganic searchorganic searchpaid searchaffiliateaffiliateorganic socialpurchase,0
3,rbos-1cd08b65-e039-43b9-91ed-b66ae3539c5e,22930025.0,10,emailemailemailemailemailpaid socialpaid searchdisplaysmsnon paidpurchase,0
4,rbos-0be3d4f2-083a-4441-a620-cbce1b8c420b,22968086.0,30,emailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailpaid searchpaid searchpaid searchpaid searchdirect maildisplaydisplaydisplaydisplaydisplaydisplayorganic searchorganic searchnon paidpurchase,0
5,rbos-9e288610-8833-4508-baec-f3dc075913ce,23053558.0,10,emailemailemailemailemaildirect maildirect maildirect maildirect maildisplaypurchase,0
6,rbos-2f87f2d8-fed4-42c3-9b0a-f296e3739a4b,23260785.0,8,direct maildirect maildirect maildirect mailorganic searchorganic searchorganic searchemailpurchase,0
7,rbos-2f87f2d8-fed4-42c3-9b0a-f296e3739a4b,14993962.0,6,emaildirect maildirect mailorganic searchorganic searchorganic searchpurchase,0
8,rbos-2f87f2d8-fed4-42c3-9b0a-f296e3739a4b,15190577.0,5,direct maildirect mailorganic searchorganic searchemailpurchase,0
9,rbos-ca875163-de55-4863-9c44-3c66ce4e1a99,25607220.0,30,emailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailpaid socialpaid socialpaid socialpaid searchpaid searchpaid searchpaid searchdirect mailorganic searchorganic searchorganic searchorganic searchorganic socialpurchase,0
10,rbos-ca875163-de55-4863-9c44-3c66ce4e1a99,25470915.0,29,direct mailorganic searchorganic searchorganic searchorganic searchemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailpaid searchpaid searchpaid searchpaid socialpaid socialpaid socialorganic socialpurchase,0
11,rbos-1539f7b6-9054-4cdc-83a7-73a0ff73947e,22967967.0,9,emailemailemailemailemailemaildirect maildirect mailnon paidpurchase,0
12,rbos-621265e9-b343-4e06-8f5e-d64cd131e09b,23137182.0,5,emailemailemaildirect mailsmspurchase,0
13,4283552302176010071,22963527.0,6,emailemailemailemailemaildirect mailpurchase,0
14,rbos-ad8aee01-f4ba-4583-93a9-382d49cc29af,22956126.0,7,emailemailemailemailemailpaid searchdirect mailpurchase,0
15,rbos-8f91dad0-0671-4593-add5-a895e5af7416,2654949.0,3,emaildirect maildisplaypurchase,0
16,rbos-8f91dad0-0671-4593-add5-a895e5af7416,9122294.0,4,direct mailemaildisplaynon paidpurchase,0
17,rbos-9fcea747-13f0-4ab9-8d8c-865f84a3e8bd,11715152.0,5,emailemaildirect maildisplaydisplaypurchase,0
18,rbos-8cfda38f-db58-4e50-94c3-cbc6b646d4af,11465318.0,14,emailemailemailemailemailemailemailemailemaildirect maildisplaydisplaydisplaydisplaypurchase,0
19,rbos-8cfda38f-db58-4e50-94c3-cbc6b646d4af,13753060.0,15,displaydisplaydisplaydisplayemailemailemailemailemailemailemailemailemailemaildirect mailpurchase,0
20,rbos-07dd2f61-d863-4b4f-b169-7d4b118463f3,3846210.0,3,emailemaildirect mailpurchase,0
21,rbos-126f5fb9-e4c4-483a-b134-957b685c9851,15243120.0,22,emailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemaildirect mailpurchase,0
22,rbos-83c6488c-80c1-41f6-a31f-f55b88657c1a,15222276.0,14,emailemailemailemailemailemailemailemailemailemailemailemailemaildirect mailpurchase,0
23,rbos-a7e947a8-dcf3-4809-a9bd-576c805e0f77,3124866.0,2,emailemailpurchase,0
24,rbcr-18b9a218-f342-41ed-addf-8e591c533e8f,3285855.0,6,emailemailemailemaildirect maildisplaypurchase,0
25,rbos-15789331-8a76-45a0-ac80-7ff4eaff86d6,1853374.0,3,emailemaildirect mailpurchase,0
26,rbos-ad98bb62-af20-49db-b71c-73b0cb0bb85d,6225866.0,18,emailemailemailemailemailemailemailemailemailemailemailemailemailemailemaildirect mailsmsnon paidpurchase,0
27,5299820613266170196,6868166.0,4,emailemaildirect mailorganic searchpurchase,0
28,rbos-fe6e343a-2f69-4c24-925e-bba092ec0cea,2714924.0,3,emaildirect mailorganic searchpurchase,0
29,rbos-c054de53-aaf8-488c-8e1f-b03c99db000e,16219311.0,109,emailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemaildirect maildirect maildisplayorganic searchnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidnon paidpurchase,1
30,rbos-d36853c8-57af-4e36-9471-d715fba18191,1211624.0,4,emailpaid searchpaid searchorganic searchpurchase,0
31,rbos-06005715-6daa-4388-8c94-c65fd5510196,16209186.0,7,emailemailemailemailemailemaildirect mailpurchase,0
32,rbos-356eaffa-4c9c-41c7-805d-967baaae0738,16552127.0,14,emailemailemailemailemailemailemailemailemailemailemailemaildirect mailorganic searchpurchase,0
33,rbos-356eaffa-4c9c-41c7-805d-967baaae0738,16048279.0,15,organic searchorganic searchemailemailemailemailemailemailemailemailemailemailemailemaildirect mailpurchase,0
34,rbos-326b50a6-a4df-4460-b947-f8dd86dcf03c,14438752.0,5,emailemailorganic searchorganic searchorganic searchpurchase,0
35,rbos-b3431be9-f22c-4663-831b-bb37011b57e4,1625437.0,7,emailemailemailemailpaid searchpaid searchpaid searchpurchase,0
36,rbos-b8f69aab-1106-434e-bbdd-dbe259e0f1af,1668174.0,7,emailemailemailemaildirect mailorganic searchorganic searchpurchase,0
37,rbos-b0aea16a-3e3d-4748-af94-cf0e7a37dfa2,2650203.0,2,emailemailpurchase,0
38,rbos-63264a2f-ea16-4d7e-ae7f-dd44399a5c9b,163074.0,2,emailemailpurchase,1
39,rbos-7fe2d294-b67d-4f39-a602-806acd0d37c1,0.0,1,emailpurchase,0
40,rbos-b8fa6313-b858-4838-ae71-593c0f0c77fb,9389986.0,6,emailemailemailemailemaildirect mailpurchase,0
41,rbos-4b877a24-38ac-4ca8-9de1-05345615d5ff,7449375.0,5,emailemailemailemaildirect mailpurchase,0
42,rbos-62a75d98-a973-4006-9d19-4b4ba60a025c,8506700.0,16,emailemailemailpaid searchpaid searchpaid searchpaid searchdirect maildirect maildirect maildirect maildirect mailorganic searchorganic searchorganic searchorganic searchpurchase,0
43,rbcr-4554946d-93cc-4c82-9344-f7bc76adec9a,10793467.0,4,emailpaid searchdirect mailorganic searchpurchase,1
44,rbos-f1b66d9c-5836-4d79-ac1b-8709f2393a34,2014078.0,10,emailemailemailemailemailemailemailemaildirect maildirect mailpurchase,0
45,rbos-a281b736-0b8f-449e-9fd0-924a18ac8b6e,0.0,1,emailpurchase,0
46,rbos-d8f09a8c-2263-423a-8968-1a60c9bd6dc3,2089799.0,14,direct maildirect mailnon paidemailemailemailemailemailemailemailemailemailemailsmspurchase,0
47,rbos-d8f09a8c-2263-423a-8968-1a60c9bd6dc3,1827557.0,12,emailemailemailemailemailemailemailemailemaildirect mailsmsnon paidpurchase,0
48,rbcr-13ad51be-52a6-4a96-a5cb-548787c814ee,1820028.0,8,emailemailemailemailemaildirect mailorganic searchnon paidpurchase,0
49,rbos-d4ec2eee-c602-4d7a-bb4d-8ad9d076ada2,8335367.0,11,emailemailemailemailemailemailemailemailemailemailemailpurchase,1
50,rbos-b7e2eeef-54f6-404f-bb95-b87001469a5e,6547609.0,3,emaildirect mailorganic searchpurchase,0
51,rbos-f3b8b282-d24b-4995-806b-f437bd98cf0a,3534619.0,4,emailemailorganic searchnon paidpurchase,0
52,rbos-4397048c-b845-46cb-afa5-2aeef8695987,4184470.0,8,emailemailemailemailemailemailemailemailpurchase,0
53,rbos-4397048c-b845-46cb-afa5-2aeef8695987,6070253.0,11,emailemailemailemailemailemailemailemailemailemailnon paidpurchase,0
54,rbos-3f9e27c6-f84c-4c08-8047-6e24a90545ec,8653992.0,5,emailemaildirect mailorganic searchnon paiddirect mailorganic searchemailemailnon paidpurchase,0
55,rbos-1ca1b054-ff64-44ed-986f-572da3b86f5d,9988981.0,3,emailorganic searchorganic searchpurchase,0
56,rbos-48f8f95e-5df5-4507-a783-5d3be706cd32,15289039.0,3,emaildirect mailnon paidpurchase,0
57,rbos-651c6017-f614-4cf0-a291-72738eedc55b,13168901.0,14,emailemailemailemailemailemailemailpaid searchdirect mailaffiliateaffiliateorganic searchorganic searchnon paidpurchase,0
58,rbos-651c6017-f614-4cf0-a291-72738eedc55b,15611238.0,15,direct mailorganic searchorganic searchpaid searchemailemailemailemailemailemailemailemailnon paidaffiliateaffiliateorganic searchorganic searchdirect mailemailemailemailemailemailemailemailemailpaid searchnon paidaffiliateaffiliatepurchase,0
59,rbos-651c6017-f614-4cf0-a291-72738eedc55b,16759239.0,17,direct mailnon paidorganic searchorganic searchorganic searchpaid searchemailemailemailemailemailemailemailemailemailaffiliateaffiliatepurchase,0
60,rbos-91ab574e-3d72-4468-a6f4-e862eb15da02,2564246.0,4,emailemailemaildirect mailpurchase,0
61,rbos-051cb3ff-8e27-42fb-8ae1-8e567c5cd953,23121935.0,4,emailemailpaid searchdirect mailpurchase,0
62,rbos-42b1a56e-cb8d-4ca0-9cda-1b39fabe0d4d,24953950.0,6,emailemailemailemailpaid searchorganic searchpurchase,0
63,rbos-22b433c5-9c02-42de-810a-dae110d7a15b,11054227.0,7,emailemailemailemailemaildirect maildisplaypurchase,0
64,rbos-cb11e56e-1d07-4084-b01d-0c5d8a7540e1,9703645.0,30,emailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemailemaildirect mailpurchase,0
65,rbos-143f8578-9984-4435-bc60-65c4b94e378f,1505658.0,3,emailemaildirect mailpurchase,0
66,rbos-11dd5cc2-da8a-4277-979c-85bc118ef308,9021282.0,6,emailemailemailemailemailsmspurchase,0
67,rbos-38eb3bf0-8343-4520-b6f1-af9c8a792503,16874371.0,10,emailemailemailemailemailemailemailemailemaildirect maildirect mailemailemailemailemailemailemailemailemailemailpurchase,0
68,rbos-2b886e0d-a53b-405a-85c0-45074885d17b,14728904.0,19,emailemailemailpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialpaid socialdisplaydisplayorganic searchorganic socialpurchase,0
69,rbos-aaaad5a0-6486-4fde-a871-41f03bb0acda,8404693.0,7,emailemailpaid searchdirect mailsmsnon paidnon paiddirect mailnon paidnon paidemailemailpaid searchsmspurchase,0
70,rbos-36831cb6-93a1-4d85-a824-fa1f6cce2624,12978150.0,9,emailemailemailemailemailemailemailemaildirect mailpurchase,0
71,rbos-c2715f45-ea7d-4d29-b720-000e13e028a0,12978676.0,2,emaildirect mailpurchase,0
72,rbos-a800a7f7-a0ee-41cb-b428-314bf69aaa66,1816490.0,3,emailorganic searchnon paidpurchase,0
73,rbos-a800a7f7-a0ee-41cb-b428-314bf69aaa66,1207448.0,4,non paidnon paidemailorganic searchpurchase,0
74,rbos-4342a8ef-b096-416a-b475-f41cd2b8cea9,611386.0,2,emaildirect mailpurchase,0
75,rbos-90f29e3b-34ba-443a-8821-b95ced1376a0,1819935.0,3,emaildirect maildirect mailpurchase,0
